Time,Fp1-Cz-DMe,F3-Cz-DMe,C3-Cz-DMe,P3-Cz-DMe,O1-Cz-DMe,F7-Cz-DMe,T3-Cz-DMe,T5-Cz-DMe,Fz-Cz-DMe,Cz-Cz-DMe,Pz-Cz-DMe,Fp2-Cz-DMe,F4-Cz-DMe,C4-Cz-DMe,P4-Cz-DMe,O2-Cz-DMe,F8-Cz-DMe,T4-Cz-DMe,T6-Cz-DMe
2016-01-01 19:39:33,24.62548966088172,9.550336283090624,2.8055661181792857,4.068328933614664,6.737205929209984,14.265211348910185,5.942840664173603,6.539044972364243,7.935745309092385,0.0,3.8653118929753414,25.518081598653172,10.949995395160832,4.169650538963769,4.2724762375380845,6.325382236500682,20.536733728117817,5.96118391192535,5.808958628020543
2016-01-01 19:39:34,24.849712247949014,9.771829964949244,2.585190393256151,3.888471283562996,6.8290406978575,14.642046153143413,5.346990892729269,6.441614656493377,7.9452100707595985,0.0,4.034173862942783,24.913876492433705,10.060228363097579,3.9611494560182576,4.568094231693138,6.535318769163398,18.127340032798642,5.719672184508618,6.642754001655447
2016-01-01 19:39:35,26.011263224982102,10.171889219747888,2.32423971272857,3.861677426989635,7.772149044612501,13.785152265634915,4.341782326357882,6.437215721044999,8.17180711005843,0.0,4.043346675231601,25.840791822753665,9.263519256051556,4.012306000862362,4.893108004400061,7.29874556559124,16.629902789917107,5.491720754422462,6.942998895869921
2016-01-01 19:39:36,25.715057470630015,10.31168508747256,2.974008327486176,3.9400376696201467,15.577581670455427,11.199946927043875,3.8342301980401023,5.989969344192848,8.52444978165151,0.0,3.8784401822161367,25.819432438956156,9.751225295448949,4.07988051304004,4.7140609533714875,7.684465633355842,16.777157735082493,5.630444034922863,7.30423468148533
2016-01-01 19:39:37,23.86734944900396,9.45294495509248,4.408332624384191,4.312755504253932,16.31873707276126,10.446002534722139,3.9277328116058166,5.6458912975604285,8.126328038980082,0.0,3.5177175625801373,23.95756032919502,9.437131393922034,3.5616106058622172,4.2332570658727375,7.516712934516914,16.07598744840768,5.661320664062813,7.331869248546285
2016-01-01 19:39:38,22.56065780908011,9.099112901227617,4.3054653536178265,4.015584375387499,15.587953399555719,9.870805835107339,4.0569730928182635,5.287110190078525,7.616915334689027,0.0,2.9791160730515314,23.298568128953278,9.277942382244305,3.5058867422553393,4.143118721961331,6.913853633657807,15.251683168729848,5.717391204172586,6.958838199720067
2016-01-01 19:39:39,19.060101205208696,8.55383285028426,4.646249118190994,3.6990794447920674,14.192591954410073,12.06809932910257,5.419637548093485,5.00996744309696,6.469084872572038,0.0,2.728132995073724,19.19848107832749,8.68263633340633,3.456728737734019,3.9408418935964935,5.8875292884650126,16.336983012947375,6.315161539698024,6.71889375608532
2016-01-01 19:39:40,16.84468052978628,7.003140237619494,4.136487198973854,3.6652826094167406,5.692795873898412,12.446927033895294,5.42743797151838,5.083341159694971,5.448564441151921,0.0,2.9310939239335587,16.217846513260007,6.691084964060723,2.861332952433245,3.439429695169637,5.241610238712189,12.78878110941061,5.619080034833129,6.311637750219658
2016-01-01 19:39:41,20.312695196881503,8.066386271339072,2.572797456167592,3.5680931337077406,4.8356693325838025,13.458495644563893,5.277451805996405,5.244346625062612,6.127582057526752,0.0,2.852745196785656,18.56587433354717,6.901071365528644,3.0322667137112225,3.8312025463339756,5.231512296721723,12.40996942804238,5.835803381610038,6.893375912722907
2016-01-01 19:39:42,19.04005415860077,7.6062396285714815,2.5742762981375225,3.5160051512293005,4.7908337900573486,12.368160889157602,5.127085900491777,5.1702902862927616,5.783834992092814,0.0,3.0117070154303938,17.113452941262324,6.416257490515606,3.2014430379229815,4.018115222755641,5.1317163169127475,11.487538223650013,6.096573057247721,6.903084403710925
2016-01-01 19:39:43,20.864504768882927,7.520624588660816,2.07834269743433,3.436091449309786,5.024976242823957,9.797087097214428,3.7127881100878852,4.873642512998456,6.406530636339997,0.0,2.9701957797633596,19.147194366729053,6.597340256656464,2.8100666644327523,3.9846135874788895,5.066915401219406,8.868808892110376,5.476468633719788,6.967698023017857
2016-01-01 19:39:44,21.10901298229352,7.280221518455292,1.715383826992365,3.031664375871621,4.79965994740977,8.845941397856503,3.574601562557073,4.74404776327672,6.55266972349481,0.0,2.453653379625907,20.555621386084105,7.079867977627522,2.7616776366802833,3.81372805764005,4.627773258194477,9.429737072489377,5.029547509351414,6.173483208690766
